Escuela_ID;CURSO_NORMALIZADO;DESEMPEÑO;Alumno_ID
9;2°;Avanzado;1
9;2°;Básico;21
9;2°;Crítico;83
9;2°;Medio;13
9;3°;Avanzado;16
9;3°;Básico;42
9;3°;Crítico;31
9;3°;Medio;20
9;4°;Avanzado;11
9;4°;Básico;32
9;4°;Crítico;37
9;4°;Medio;31
9;5°;Avanzado;15
9;5°;Básico;33
9;5°;Crítico;46
9;5°;Medio;22
9;6°;Avanzado;17
9;6°;Básico;41
9;6°;Crítico;17
9;6°;Medio;38
9;7°;Avanzado;14
9;7°;Básico;26
9;7°;Crítico;32
9;7°;Medio;58
14;2°;Avanzado;12
14;2°;Básico;12
14;2°;Crítico;27
14;2°;Medio;8
14;3°;Avanzado;19
14;3°;Básico;8
14;3°;Crítico;10
14;3°;Medio;14
14;4°;Avanzado;20
14;4°;Básico;11
14;4°;Crítico;12
14;4°;Medio;19
14;5°;Avanzado;11
14;5°;Básico;13
14;5°;Crítico;15
14;5°;Medio;15
14;6°;Avanzado;22
14;6°;Básico;6
14;6°;Crítico;3
14;6°;Medio;20
14;7°;Avanzado;10
14;7°;Básico;19
14;7°;Crítico;5
14;7°;Medio;22
22;2°;Avanzado;14
22;2°;Básico;19
22;2°;Crítico;40
22;2°;Medio;8
22;3°;Avanzado;18
22;3°;Básico;13
22;3°;Crítico;26
22;3°;Medio;12
22;4°;Avanzado;23
22;4°;Básico;17
22;4°;Crítico;13
22;4°;Medio;29
22;5°;Avanzado;12
22;5°;Básico;20
22;5°;Crítico;20
22;5°;Medio;17
22;6°;Avanzado;24
22;6°;Básico;12
22;6°;Crítico;25
22;6°;Medio;39
22;7°;Avanzado;20
22;7°;Básico;20
22;7°;Crítico;9
22;7°;Medio;33
60;2°;Avanzado;1
60;2°;Básico;7
60;2°;Crítico;14
60;2°;Medio;4
60;3°;Avanzado;10
60;3°;Básico;8
60;3°;Crítico;11
60;3°;Medio;7
60;4°;Avanzado;14
60;4°;Básico;16
60;4°;Crítico;2
60;4°;Medio;11
60;5°;Avanzado;3
60;5°;Básico;9
60;5°;Crítico;8
60;5°;Medio;5
60;6°;Avanzado;11
60;6°;Básico;7
60;6°;Crítico;2
60;6°;Medio;19
60;7°;Avanzado;5
60;7°;Básico;3
60;7°;Medio;20
74;2°;Avanzado;2
74;2°;Básico;31
74;2°;Crítico;58
74;2°;Medio;12
74;3°;Avanzado;26
74;3°;Básico;36
74;3°;Crítico;17
74;3°;Medio;40
74;4°;Avanzado;48
74;4°;Básico;25
74;4°;Crítico;7
74;4°;Medio;35
74;5°;Avanzado;25
74;5°;Básico;31
74;5°;Crítico;20
74;5°;Medio;39
74;6°;Avanzado;49
74;6°;Básico;16
74;6°;Crítico;2
74;6°;Medio;42
74;7°;Avanzado;36
74;7°;Básico;26
74;7°;Crítico;6
74;7°;Medio;58
194;2°;Avanzado;1
194;2°;Básico;6
194;2°;Crítico;48
194;2°;Medio;1
194;3°;Avanzado;7
194;3°;Básico;19
194;3°;Crítico;29
194;3°;Medio;9
194;4°;Avanzado;6
194;4°;Básico;11
194;4°;Crítico;27
194;4°;Medio;10
194;5°;Avanzado;1
194;5°;Básico;4
194;5°;Crítico;28
194;5°;Medio;10
194;6°;Avanzado;6
194;6°;Básico;14
194;6°;Crítico;8
194;6°;Medio;16
194;7°;Avanzado;5
194;7°;Básico;14
194;7°;Crítico;13
194;7°;Medio;12
197;2°;Avanzado;3
197;2°;Básico;10
197;2°;Crítico;97
197;2°;Medio;5
197;3°;Avanzado;20
197;3°;Básico;21
197;3°;Crítico;29
197;3°;Medio;32
197;4°;Avanzado;25
197;4°;Básico;22
197;4°;Crítico;25
197;4°;Medio;30
197;5°;Avanzado;10
197;5°;Básico;19
197;5°;Crítico;42
197;5°;Medio;35
197;6°;Avanzado;8
197;6°;Básico;11
197;6°;Crítico;37
197;6°;Medio;37
197;7°;Avanzado;13
197;7°;Básico;21
197;7°;Crítico;21
197;7°;Medio;52
210;2°;Avanzado;4
210;2°;Básico;19
210;2°;Crítico;48
210;2°;Medio;5
210;3°;Avanzado;14
210;3°;Básico;21
210;3°;Crítico;25
210;3°;Medio;14
210;4°;Avanzado;14
210;4°;Básico;13
210;4°;Crítico;28
210;4°;Medio;22
210;5°;Avanzado;16
210;5°;Básico;20
210;5°;Crítico;25
210;5°;Medio;22
210;6°;Avanzado;15
210;6°;Básico;10
210;6°;Crítico;6
210;6°;Medio;23
210;7°;Avanzado;5
210;7°;Básico;12
210;7°;Crítico;34
210;7°;Medio;23
250;2°;Avanzado;3
250;2°;Básico;17
250;2°;Crítico;24
250;2°;Medio;9
250;3°;Avanzado;8
250;3°;Básico;22
250;3°;Crítico;17
250;3°;Medio;13
250;4°;Avanzado;8
250;4°;Básico;15
250;4°;Crítico;5
250;4°;Medio;18
250;5°;Avanzado;5
250;5°;Básico;17
250;5°;Crítico;10
250;5°;Medio;25
250;6°;Avanzado;20
250;6°;Básico;17
250;6°;Crítico;1
250;6°;Medio;30
250;7°;Avanzado;10
250;7°;Básico;14
250;7°;Crítico;2
250;7°;Medio;25
253;2°;Avanzado;5
253;2°;Básico;24
253;2°;Crítico;39
253;2°;Medio;8
253;3°;Avanzado;15
253;3°;Básico;25
253;3°;Crítico;16
253;3°;Medio;18
253;4°;Avanzado;22
253;4°;Básico;24
253;4°;Crítico;13
253;4°;Medio;32
253;5°;Avanzado;10
253;5°;Básico;20
253;5°;Crítico;23
253;5°;Medio;16
253;6°;Avanzado;15
253;6°;Básico;22
253;6°;Crítico;12
253;6°;Medio;26
253;7°;Avanzado;23
253;7°;Básico;19
253;7°;Crítico;15
253;7°;Medio;27
288;4°;Básico;9
288;4°;Crítico;2
288;4°;Medio;4
288;5°;Crítico;10
288;6°;Avanzado;5
288;6°;Básico;6
288;6°;Crítico;3
288;6°;Medio;5
288;7°;Básico;3
288;7°;Crítico;10
288;7°;Medio;1
346;2°;Avanzado;4
346;2°;Básico;22
346;2°;Crítico;74
346;2°;Medio;7
346;3°;Avanzado;15
346;3°;Básico;24
346;3°;Crítico;48
346;3°;Medio;14
346;4°;Avanzado;12
346;4°;Básico;22
346;4°;Crítico;30
346;4°;Medio;31
346;5°;Avanzado;4
346;5°;Básico;25
346;5°;Crítico;40
346;5°;Medio;20
346;6°;Avanzado;16
346;6°;Básico;18
346;6°;Crítico;22
346;6°;Medio;34
346;7°;Avanzado;5
346;7°;Básico;38
346;7°;Crítico;31
346;7°;Medio;30
378;3°;Avanzado;8
378;3°;Básico;20
378;3°;Crítico;57
378;3°;Medio;20
378;6°;Avanzado;17
378;6°;Básico;27
378;6°;Crítico;12
378;6°;Medio;38
384;2°;Avanzado;1
384;2°;Básico;12
384;2°;Crítico;36
384;2°;Medio;5
384;3°;Avanzado;13
384;3°;Básico;23
384;3°;Crítico;22
384;3°;Medio;11
384;4°;Avanzado;11
384;4°;Básico;24
384;4°;Crítico;20
384;4°;Medio;21
384;5°;Avanzado;7
384;5°;Básico;27
384;5°;Crítico;21
384;5°;Medio;19
384;6°;Avanzado;23
384;6°;Básico;13
384;6°;Crítico;8
384;6°;Medio;39
384;7°;Avanzado;19
384;7°;Básico;11
384;7°;Crítico;15
384;7°;Medio;34
392;2°;Básico;10
392;2°;Crítico;61
392;2°;Medio;12
392;3°;Avanzado;15
392;3°;Básico;35
392;3°;Crítico;24
392;3°;Medio;16
392;4°;Avanzado;21
392;4°;Básico;17
392;4°;Crítico;18
392;4°;Medio;26
392;5°;Básico;6
392;5°;Crítico;77
392;5°;Medio;6
392;6°;Avanzado;17
392;6°;Básico;10
392;6°;Crítico;14
392;6°;Medio;44
392;7°;Avanzado;27
392;7°;Básico;8
392;7°;Crítico;10
392;7°;Medio;36
393;2°;Avanzado;9
393;2°;Básico;22
393;2°;Crítico;19
393;2°;Medio;10
393;3°;Avanzado;14
393;3°;Básico;14
393;3°;Crítico;13
393;3°;Medio;8
393;4°;Avanzado;15
393;4°;Básico;11
393;4°;Crítico;4
393;4°;Medio;16
393;5°;Avanzado;7
393;5°;Básico;17
393;5°;Crítico;8
393;5°;Medio;22
393;6°;Avanzado;29
393;6°;Básico;3
393;6°;Crítico;3
393;6°;Medio;24
393;7°;Avanzado;9
393;7°;Básico;11
393;7°;Crítico;8
393;7°;Medio;36
417;2°;Avanzado;1
417;2°;Básico;12
417;2°;Crítico;84
417;2°;Medio;7
417;3°;Avanzado;12
417;3°;Básico;17
417;3°;Crítico;32
417;3°;Medio;16
417;4°;Avanzado;9
417;4°;Básico;37
417;4°;Crítico;28
417;4°;Medio;24
417;5°;Avanzado;6
417;5°;Básico;21
417;5°;Crítico;37
417;5°;Medio;14
417;6°;Avanzado;15
417;6°;Básico;16
417;6°;Crítico;12
417;6°;Medio;24
417;7°;Avanzado;9
417;7°;Básico;32
417;7°;Crítico;16
417;7°;Medio;35
457;2°;Básico;2
457;2°;Crítico;23
457;3°;Básico;4
457;3°;Crítico;18
457;3°;Medio;3
457;4°;Avanzado;1
457;4°;Básico;6
457;4°;Crítico;6
457;4°;Medio;4
457;5°;Básico;8
457;5°;Crítico;9
457;5°;Medio;4
457;6°;Básico;4
457;6°;Crítico;4
457;6°;Medio;5
457;7°;Básico;6
457;7°;Crítico;5
457;7°;Medio;5
461;2°;Básico;3
461;2°;Crítico;15
461;2°;Medio;1
461;3°;Básico;7
461;3°;Crítico;16
461;3°;Medio;2
461;4°;Avanzado;1
461;4°;Básico;3
461;4°;Crítico;12
461;4°;Medio;4
461;5°;Básico;4
461;5°;Crítico;10
461;5°;Medio;2
461;6°;Avanzado;1
461;6°;Básico;7
461;6°;Crítico;11
461;6°;Medio;3
461;7°;Básico;2
461;7°;Crítico;13
461;7°;Medio;5
477;2°;Básico;3
477;2°;Crítico;25
477;3°;Básico;5
477;3°;Crítico;23
477;3°;Medio;5
477;4°;Básico;10
477;4°;Crítico;8
477;4°;Medio;1
477;5°;Avanzado;9
477;5°;Básico;4
477;5°;Crítico;4
477;5°;Medio;7
477;6°;Avanzado;2
477;6°;Básico;2
477;6°;Crítico;8
477;6°;Medio;2
477;7°;Avanzado;16
477;7°;Básico;4
477;7°;Crítico;2
477;7°;Medio;6
478;2°;Avanzado;2
478;2°;Básico;14
478;2°;Crítico;46
478;2°;Medio;5
478;3°;Avanzado;4
478;3°;Básico;15
478;3°;Crítico;36
478;3°;Medio;3
478;4°;Avanzado;5
478;4°;Básico;15
478;4°;Crítico;18
478;4°;Medio;10
478;5°;Avanzado;1
478;5°;Básico;16
478;5°;Crítico;26
478;5°;Medio;7
478;6°;Avanzado;4
478;6°;Básico;12
478;6°;Crítico;20
478;6°;Medio;14
478;7°;Avanzado;4
478;7°;Básico;12
478;7°;Crítico;24
478;7°;Medio;8
485;2°;Avanzado;2
485;2°;Básico;8
485;2°;Crítico;35
485;2°;Medio;1
485;3°;Avanzado;6
485;3°;Básico;10
485;3°;Crítico;19
485;3°;Medio;13
485;4°;Avanzado;1
485;4°;Básico;13
485;4°;Crítico;28
485;4°;Medio;6
485;5°;Avanzado;1
485;5°;Básico;6
485;5°;Crítico;39
485;5°;Medio;4
485;6°;Avanzado;1
485;6°;Básico;10
485;6°;Crítico;10
485;6°;Medio;14
485;7°;Avanzado;2
485;7°;Básico;24
485;7°;Crítico;12
485;7°;Medio;11
486;2°;Avanzado;2
486;2°;Básico;22
486;2°;Crítico;34
486;2°;Medio;5
486;3°;Avanzado;4
486;3°;Básico;18
486;3°;Crítico;30
486;3°;Medio;11
486;4°;Avanzado;6
486;4°;Básico;14
486;4°;Crítico;20
486;4°;Medio;17
486;5°;Avanzado;5
486;5°;Básico;14
486;5°;Crítico;25
486;5°;Medio;16
486;6°;Avanzado;3
486;6°;Básico;16
486;6°;Crítico;11
486;6°;Medio;21
486;7°;Avanzado;1
486;7°;Básico;30
486;7°;Crítico;11
486;7°;Medio;14
494;2°;Básico;3
494;2°;Crítico;32
494;3°;Avanzado;1
494;3°;Básico;9
494;3°;Crítico;10
494;3°;Medio;9
494;4°;Avanzado;3
494;4°;Básico;9
494;4°;Crítico;9
494;4°;Medio;7
494;5°;Avanzado;2
494;5°;Básico;6
494;5°;Crítico;14
494;5°;Medio;3
494;6°;Avanzado;2
494;6°;Básico;4
494;6°;Crítico;6
494;6°;Medio;12
494;7°;Básico;11
494;7°;Crítico;10
494;7°;Medio;9
511;2°;Crítico;15
511;2°;Medio;1
511;3°;Crítico;16
511;4°;Básico;2
511;4°;Crítico;16
511;5°;Básico;1
511;5°;Crítico;8
511;5°;Medio;2
511;6°;Básico;2
511;6°;Crítico;10
511;6°;Medio;1
511;7°;Crítico;4
514;2°;Avanzado;6
514;2°;Básico;12
514;2°;Crítico;54
514;2°;Medio;6
514;3°;Avanzado;8
514;3°;Básico;24
514;3°;Crítico;34
514;3°;Medio;10
514;4°;Avanzado;5
514;4°;Básico;28
514;4°;Crítico;21
514;4°;Medio;16
514;5°;Avanzado;4
514;5°;Básico;20
514;5°;Crítico;23
514;5°;Medio;8
514;6°;Avanzado;7
514;6°;Básico;17
514;6°;Crítico;14
514;6°;Medio;17
514;7°;Avanzado;1
514;7°;Básico;23
514;7°;Crítico;26
514;7°;Medio;32
552;2°;Básico;6
552;2°;Crítico;53
552;2°;Medio;4
552;3°;Avanzado;4
552;3°;Básico;20
552;3°;Crítico;25
552;3°;Medio;8
552;4°;Avanzado;9
552;4°;Básico;12
552;4°;Crítico;22
552;4°;Medio;17
552;5°;Básico;10
552;5°;Crítico;20
552;5°;Medio;8
552;6°;Avanzado;2
552;6°;Básico;12
552;6°;Crítico;18
552;6°;Medio;18
552;7°;Avanzado;3
552;7°;Básico;10
552;7°;Crítico;27
552;7°;Medio;10
582;2°;Básico;7
582;2°;Crítico;39
582;2°;Medio;2
582;3°;Avanzado;7
582;3°;Básico;21
582;3°;Crítico;14
582;3°;Medio;20
582;4°;Avanzado;11
582;4°;Básico;18
582;4°;Crítico;6
582;4°;Medio;20
582;5°;Avanzado;7
582;5°;Básico;16
582;5°;Crítico;14
582;5°;Medio;16
582;6°;Avanzado;15
582;6°;Básico;13
582;6°;Crítico;8
582;6°;Medio;22
582;7°;Avanzado;4
582;7°;Básico;13
582;7°;Crítico;7
582;7°;Medio;24
621;2°;Básico;1
621;2°;Crítico;47
621;3°;Básico;4
621;3°;Crítico;21
621;3°;Medio;1
621;4°;Básico;5
621;4°;Crítico;17
621;4°;Medio;1
621;5°;Básico;5
621;5°;Crítico;19
621;5°;Medio;1
621;6°;Básico;9
621;6°;Crítico;20
621;6°;Medio;1
621;7°;Básico;2
621;7°;Crítico;16
621;7°;Medio;2
989;1°;Avanzado;41
989;1°;Básico;23
989;1°;Crítico;12
989;1°;Medio;115
989;2°;Avanzado;46
989;2°;Básico;50
989;2°;Crítico;23
989;2°;Medio;92
989;3°;Avanzado;46
989;3°;Básico;43
989;3°;Crítico;42
989;3°;Medio;82
989;4°;Avanzado;40
989;4°;Básico;37
989;4°;Crítico;14
989;4°;Medio;91
989;5°;Avanzado;33
989;5°;Básico;49
989;5°;Crítico;34
989;5°;Medio;67
990;1°;Avanzado;9
990;1°;Básico;19
990;1°;Crítico;9
990;1°;Medio;82
990;2°;Avanzado;22
990;2°;Básico;37
990;2°;Crítico;12
990;2°;Medio;55
990;3°;Avanzado;2
990;3°;Básico;23
990;3°;Crítico;36
990;3°;Medio;55
990;4°;Avanzado;10
990;4°;Básico;28
990;4°;Crítico;9
990;4°;Medio;42
990;5°;Avanzado;5
990;5°;Básico;49
990;5°;Crítico;19
990;5°;Medio;21
990;6°;Avanzado;4
990;6°;Básico;38
990;6°;Crítico;23
990;6°;Medio;28
991;1°;Avanzado;15
991;1°;Básico;8
991;1°;Crítico;23
991;1°;Medio;84
991;2°;Avanzado;16
991;2°;Básico;58
991;2°;Crítico;24
991;2°;Medio;81
991;3°;Avanzado;41
991;3°;Básico;24
991;3°;Crítico;21
991;3°;Medio;67
991;4°;Avanzado;16
991;4°;Básico;28
991;4°;Crítico;22
991;4°;Medio;58
991;5°;Avanzado;6
991;5°;Básico;33
991;5°;Crítico;17
991;5°;Medio;61
991;6°;Avanzado;1
991;6°;Básico;21
991;6°;Crítico;12
991;6°;Medio;71
993;1°;Avanzado;27
993;1°;Básico;39
993;1°;Crítico;29
993;1°;Medio;66
993;2°;Avanzado;12
993;2°;Básico;44
993;2°;Crítico;57
993;2°;Medio;56
993;3°;Avanzado;8
993;3°;Básico;37
993;3°;Crítico;65
993;3°;Medio;21
993;4°;Avanzado;6
993;4°;Básico;39
993;4°;Crítico;39
993;4°;Medio;31
993;5°;Avanzado;1
993;5°;Básico;25
993;5°;Crítico;37
993;5°;Medio;16
993;6°;Avanzado;3
993;6°;Básico;22
993;6°;Crítico;35
993;6°;Medio;5
997;1°;Crítico;166
997;2°;Avanzado;14
997;2°;Básico;64
997;2°;Crítico;52
997;2°;Medio;40
997;3°;Avanzado;6
997;3°;Básico;30
997;3°;Crítico;102
997;3°;Medio;11
997;4°;Avanzado;3
997;4°;Básico;33
997;4°;Crítico;79
997;4°;Medio;17
997;5°;Básico;17
997;5°;Crítico;56
997;5°;Medio;12
1004;1°;Avanzado;59
1004;1°;Básico;15
1004;1°;Crítico;10
1004;1°;Medio;111
1004;2°;Avanzado;44
1004;2°;Básico;44
1004;2°;Crítico;10
1004;2°;Medio;110
1004;3°;Avanzado;26
1004;3°;Básico;42
1004;3°;Crítico;20
1004;3°;Medio;114
1004;4°;Avanzado;36
1004;4°;Básico;46
1004;4°;Crítico;18
1004;4°;Medio;80
1004;5°;Avanzado;20
1004;5°;Básico;37
1004;5°;Crítico;22
1004;5°;Medio;77
1004;6°;Avanzado;67
1004;6°;Básico;10
1004;6°;Crítico;25
1004;6°;Medio;41
1008;1°;Avanzado;18
1008;1°;Básico;35
1008;1°;Crítico;18
1008;1°;Medio;63
1008;2°;Avanzado;16
1008;2°;Básico;37
1008;2°;Crítico;44
1008;2°;Medio;45
1008;3°;Avanzado;9
1008;3°;Básico;34
1008;3°;Crítico;38
1008;3°;Medio;57
1008;4°;Avanzado;10
1008;4°;Básico;32
1008;4°;Crítico;39
1008;4°;Medio;30
1008;5°;Avanzado;2
1008;5°;Básico;28
1008;5°;Crítico;40
1008;5°;Medio;16
1008;6°;Avanzado;5
1008;6°;Básico;22
1008;6°;Crítico;16
1008;6°;Medio;27
1010;1°;Avanzado;13
1010;1°;Básico;17
1010;1°;Crítico;23
1010;1°;Medio;43
1010;2°;Avanzado;15
1010;2°;Básico;33
1010;2°;Crítico;37
1010;2°;Medio;30
1010;3°;Avanzado;10
1010;3°;Básico;28
1010;3°;Crítico;20
1010;3°;Medio;28
1010;4°;Avanzado;3
1010;4°;Básico;26
1010;4°;Crítico;41
1010;4°;Medio;17
1010;5°;Avanzado;2
1010;5°;Básico;24
1010;5°;Crítico;39
1010;5°;Medio;7
1010;6°;Avanzado;1
1010;6°;Básico;13
1010;6°;Crítico;13
1010;6°;Medio;11
1012;1°;Avanzado;25
1012;1°;Básico;21
1012;1°;Crítico;13
1012;1°;Medio;65
1012;2°;Avanzado;14
1012;2°;Básico;41
1012;2°;Crítico;19
1012;2°;Medio;46
1012;3°;Avanzado;8
1012;3°;Básico;26
1012;3°;Crítico;40
1012;3°;Medio;31
1012;4°;Avanzado;11
1012;4°;Básico;22
1012;4°;Crítico;23
1012;4°;Medio;27
1012;5°;Avanzado;3
1012;5°;Básico;28
1012;5°;Crítico;17
1012;5°;Medio;23
1015;1°;Avanzado;17
1015;1°;Básico;13
1015;1°;Crítico;17
1015;1°;Medio;38
1015;2°;Avanzado;7
1015;2°;Básico;20
1015;2°;Crítico;31
1015;2°;Medio;32
1015;3°;Avanzado;4
1015;3°;Básico;17
1015;3°;Crítico;23
1015;3°;Medio;16
1015;4°;Avanzado;1
1015;4°;Básico;14
1015;4°;Crítico;21
1015;4°;Medio;17
1015;5°;Básico;5
1015;5°;Crítico;15
1015;5°;Medio;8
1022;2°;Avanzado;8
1022;2°;Básico;16
1022;2°;Crítico;21
1022;2°;Medio;14
1022;3°;Avanzado;8
1022;3°;Básico;11
1022;3°;Crítico;24
1022;3°;Medio;16
1022;4°;Avanzado;3
1022;4°;Básico;22
1022;4°;Crítico;22
1022;4°;Medio;20
1022;5°;Avanzado;1
1022;5°;Básico;10
1022;5°;Crítico;20
1022;5°;Medio;13
1022;6°;Avanzado;1
1022;6°;Básico;14
1022;6°;Crítico;13
1022;6°;Medio;10
1023;1°;Avanzado;22
1023;1°;Básico;59
1023;1°;Crítico;44
1023;1°;Medio;104
1023;2°;Avanzado;27
1023;2°;Básico;59
1023;2°;Crítico;45
1023;2°;Medio;78
1023;3°;Avanzado;10
1023;3°;Básico;19
1023;3°;Crítico;179
1023;3°;Medio;18
1023;4°;Avanzado;6
1023;4°;Básico;23
1023;4°;Crítico;104
1023;4°;Medio;31
1023;5°;Avanzado;11
1023;5°;Básico;34
1023;5°;Crítico;63
1023;5°;Medio;35
1023;6°;Crítico;91
1023;6°;Medio;1
1024;1°;Avanzado;5
1024;1°;Básico;16
